1,ABC123,automóvil,Logan,2022,13.0,12900,gasolina,34.0
2,EDF456,camioneta,Hilux,2020,21.0,38000,diesel,36.0
3,XYZ12W,moto,Boxer,2016,2.5,14100,gasolina,170.49999999999994
4,GHI789,automóvil,Mazda 3,2019,15.0,30000,gasolina,46.0
5,JKL012,automóvil,Chevrolet Spark,2018,10.0,20000,gasolina,46.0
6,MNO345,camioneta,Ranger,2017,18.0,35000,diesel,34.0
7,PQR678,camioneta,Rav4,2021,20.0,27000,gasolina,34.0
8,STU901,moto,Pulsar,2020,3.0,15000,gasolina,139.0
9,VWX234,automóvil,Hyundai Accent,2020,14.0,32000,gasolina,44.0
10,YZA567,camioneta,Jeep Wrangler,2019,19.0,40000,diesel,36.0
11,BCD890,moto,Discover,2017,2.8,18000,gasolina,141.0
12,DEF123,automóvil,Kia Rio,2018,12.0,22000,gasolina,44.0
13,GHI456,automóvil,Toyota Corolla,2017,14.0,28000,gasolina,46.0
14,JKL789,camioneta,Ford Escape,2019,18.0,36000,diesel,35.0
15,MNO012,moto,Apache,2019,3.5,20000,gasolina,141.0
16,ZZZ999,camion,Kenworth,2015,500.0,50000,acpm,19.0
17,AAA111,camion,Volvo,2018,450.0,70000,diesel,19.0
18,BBB222,camion,Mercedes-Benz,2019,400.0,60000,acpm,19.0
19,CCC333,camion,Foton,2017,60.0,55000,diesel,19.0
20,DDD444,camion,International,2016,550.0,65000,acpm,21.0
